epoch	learning_rate	train_loss	val_loss	val_mae	val_mse
000	0.000317	  5.3042	  3.4867	  7.6909	170.8481
001	0.000533	  2.5246	  1.2329	  4.5035	 60.4115
002	0.001000	  1.1354	  0.8882	  4.0371	 43.5209
003	0.001000	  1.2212	  0.9780	  3.9135	 47.9233
004	0.001000	  0.7644	  0.7192	  3.4367	 35.2400
005	0.001000	  0.6549	  0.5512	  2.8950	 27.0073
006	0.001000	  0.5810	  0.5544	  3.1405	 27.1642
007	0.001000	  0.5607	  0.6047	  3.1272	 29.6309
008	0.001000	  0.5894	  0.4999	  2.7155	 24.4957
009	0.001000	  0.5014	  0.5677	  3.0393	 27.8150
010	0.001000	  0.5584	  0.4499	  2.5940	 22.0428
011	0.001000	  0.4891	  0.4507	  2.7260	 22.0837
012	0.000700	  0.4820	  0.5242	  2.9091	 25.6852
013	0.000700	  0.4328	  0.3842	  2.3839	 18.8279
014	0.000700	  0.4104	  0.4309	  2.5909	 21.1145
015	0.000700	  0.4132	  0.3750	  2.3254	 18.3730
016	0.000700	  0.4058	  0.3834	  2.3619	 18.7864
017	0.000700	  0.4002	  0.4111	  2.5133	 20.1438
018	0.000700	  0.3958	  0.3799	  2.3711	 18.6163
019	0.000700	  0.4003	  0.3621	  2.2746	 17.7437
020	0.000700	  0.4064	  0.4075	  2.4909	 19.9678
021	0.000700	  0.4237	  0.3930	  2.3292	 19.2570
022	0.000490	  0.4008	  0.3907	  2.4937	 19.1420
023	0.000490	  0.3690	  0.3361	  2.1612	 16.4709
024	0.000490	  0.3517	  0.3634	  2.2190	 17.8062
025	0.000490	  0.3651	  0.4126	  2.4748	 20.2167
026	0.000490	  0.3665	  0.3373	  2.1639	 16.5254
027	0.000490	  0.3464	  0.3597	  2.2178	 17.6273
028	0.000490	  0.3439	  0.3717	  2.3350	 18.2157
029	0.000490	  0.3576	  0.3726	  2.4194	 18.2565
030	0.000490	  0.3524	  0.3538	  2.2598	 17.3340
031	0.000490	  0.3571	  0.3187	  2.1111	 15.6143
032	0.000343	  0.3376	  0.3038	  2.0480	 14.8842
033	0.000343	  0.3143	  0.3030	  2.0991	 14.8458
034	0.000343	  0.3038	  0.2911	  2.0270	 14.2660
035	0.000343	  0.3014	  0.2833	  1.9555	 13.8817
036	0.000343	  0.3125	  0.2735	  1.8712	 13.4039
037	0.000343	  0.2955	  0.2644	  1.9002	 12.9563
038	0.000343	  0.2896	  0.2779	  1.9281	 13.6185
039	0.000343	  0.3051	  0.2874	  1.9745	 14.0807
040	0.000343	  0.2947	  0.3581	  2.3239	 17.5483
041	0.000343	  0.2951	  0.2910	  1.9742	 14.2578
042	0.000240	  0.2987	  0.3026	  1.8179	 14.8255
043	0.000240	  0.2736	  0.2835	  1.9090	 13.8894
044	0.000240	  0.2620	  0.2535	  1.8546	 12.4202
045	0.000240	  0.2729	  0.2513	  1.7475	 12.3116
046	0.000240	  0.2636	  0.2437	  1.8374	 11.9415
