epoch	learning_rate	train_loss	val_loss	val_mae	val_mse
000	0.001000	  4.0505	  1.3192	  5.0049	 64.6411
001	0.001000	  0.9138	  0.4665	  2.6968	 22.8602
002	0.001000	  0.4232	  0.3931	  2.3800	 19.2623
003	0.001000	  0.3277	  0.2668	  2.0437	 13.0732
004	0.001000	  0.2802	  0.2559	  1.9397	 12.5389
005	0.001000	  0.2652	  0.2710	  2.1597	 13.2811
006	0.001000	  0.2558	  0.2286	  1.7272	 11.2021
007	0.001000	  0.2402	  0.2145	  1.7044	 10.5114
008	0.001000	  0.2355	  0.2118	  1.6545	 10.3766
009	0.001000	  0.2274	  0.2135	  1.6987	 10.4614
010	0.001000	  0.2292	  0.2137	  1.6452	 10.4718
011	0.001000	  0.2261	  0.2187	  1.7544	 10.7180
012	0.001000	  0.2266	  0.1981	  1.5383	  9.7085
013	0.001000	  0.2178	  0.2146	  1.7217	 10.5162
014	0.001000	  0.2135	  0.2005	  1.5888	  9.8267
015	0.001000	  0.2140	  0.1928	  1.5315	  9.4494
016	0.001000	  0.2150	  0.1905	  1.5276	  9.3356
017	0.001000	  0.2137	  0.2067	  1.6474	 10.1261
018	0.001000	  0.2104	  0.1982	  1.6258	  9.7094
019	0.000250	  0.2116	  0.1933	  1.6118	  9.4716
020	0.000250	  0.1937	  0.1837	  1.4337	  8.9990
021	0.000250	  0.1922	  0.1806	  1.4025	  8.8496
022	0.000250	  0.1914	  0.1818	  1.4259	  8.9104
023	0.000250	  0.1893	  0.1816	  1.4185	  8.8962
024	0.000250	  0.1895	  0.1951	  1.5873	  9.5576
025	0.000250	  0.1907	  0.1861	  1.4604	  9.1186
026	0.000250	  0.1906	  0.1823	  1.4505	  8.9323
027	0.000250	  0.1896	  0.1804	  1.3998	  8.8380
028	0.000250	  0.1882	  0.1812	  1.4384	  8.8792
029	0.000250	  0.1893	  0.1861	  1.5128	  9.1204
030	0.000250	  0.1891	  0.1786	  1.4384	  8.7498
031	0.000250	  0.1876	  0.1805	  1.4940	  8.8464
032	0.000250	  0.1877	  0.1785	  1.4249	  8.7461
033	0.000250	  0.1879	  0.1799	  1.4631	  8.8164
034	0.000250	  0.1869	  0.1857	  1.5475	  9.0974
035	0.000250	  0.1863	  0.1816	  1.4477	  8.8987
036	0.000250	  0.1851	  0.1836	  1.5452	  8.9964
037	0.000250	  0.1864	  0.1771	  1.4023	  8.6759
038	0.000250	  0.1847	  0.1887	  1.4986	  9.2469
039	0.000063	  0.1847	  0.1784	  1.4509	  8.7431
040	0.000063	  0.1784	  0.1730	  1.3676	  8.4754
041	0.000063	  0.1785	  0.1745	  1.3791	  8.5493
042	0.000063	  0.1768	  0.1741	  1.3681	  8.5328
043	0.000063	  0.1767	  0.1716	  1.3494	  8.4076
044	0.000063	  0.1761	  0.1721	  1.3616	  8.4325
045	0.000063	  0.1768	  0.1712	  1.3493	  8.3881
046	0.000063	  0.1766	  0.1720	  1.3638	  8.4258
047	0.000063	  0.1743	  0.1736	  1.3750	  8.5055
048	0.000063	  0.1750	  0.1733	  1.3752	  8.4921
049	0.000063	  0.1742	  0.1723	  1.3456	  8.4407
050	0.000063	  0.1739	  0.1699	  1.3502	  8.3230
051	0.000063	  0.1750	  0.1707	  1.3695	  8.3626
052	0.000063	  0.1725	  0.1697	  1.3350	  8.3164
053	0.000063	  0.1736	  0.1727	  1.3867	  8.4619
054	0.000063	  0.1740	  0.1707	  1.3396	  8.3649
055	0.000063	  0.1727	  0.1749	  1.3874	  8.5700
056	0.000063	  0.1738	  0.1715	  1.3691	  8.4049
057	0.000063	  0.1719	  0.1726	  1.3458	  8.4575
058	0.000063	  0.1729	  0.1733	  1.3535	  8.4930
059	0.000016	  0.1724	  0.1713	  1.3606	  8.3920
060	0.000016	  0.1700	  0.1699	  1.3293	  8.3251
061	0.000016	  0.1693	  0.1693	  1.3323	  8.2968
062	0.000016	  0.1693	  0.1694	  1.3404	  8.3023
063	0.000016	  0.1687	  0.1695	  1.3275	  8.3059
064	0.000016	  0.1676	  0.1693	  1.3358	  8.2963
065	0.000016	  0.1679	  0.1684	  1.3233	  8.2502
066	0.000016	  0.1678	  0.1689	  1.3276	  8.2761
067	0.000016	  0.1695	  0.1687	  1.3376	  8.2659
068	0.000016	  0.1683	  0.1679	  1.3272	  8.2288
069	0.000016	  0.1675	  0.1684	  1.3276	  8.2535
070	0.000016	  0.1671	  0.1688	  1.3368	  8.2701
071	0.000016	  0.1674	  0.1684	  1.3293	  8.2537
072	0.000016	  0.1666	  0.1677	  1.3211	  8.2155
073	0.000016	  0.1673	  0.1681	  1.3216	  8.2372
074	0.000016	  0.1665	  0.1688	  1.3271	  8.2728
075	0.000016	  0.1662	  0.1684	  1.3289	  8.2506
076	0.000016	  0.1672	  0.1674	  1.3215	  8.2034
077	0.000016	  0.1664	  0.1678	  1.3378	  8.2222
078	0.000016	  0.1662	  0.1675	  1.3150	  8.2086
079	0.000004	  0.1659	  0.1683	  1.3213	  8.2474
080	0.000004	  0.1649	  0.1681	  1.3188	  8.2365
081	0.000004	  0.1654	  0.1684	  1.3160	  8.2521
082	0.000004	  0.1661	  0.1684	  1.3150	  8.2525
083	0.000004	  0.1649	  0.1678	  1.3178	  8.2212
084	0.000004	  0.1646	  0.1681	  1.3211	  8.2365
085	0.000004	  0.1646	  0.1679	  1.3216	  8.2281
086	0.000004	  0.1634	  0.1681	  1.3184	  8.2374
087	0.000004	  0.1641	  0.1684	  1.3260	  8.2493
088	0.000004	  0.1636	  0.1681	  1.3199	  8.2346
089	0.000004	  0.1648	  0.1683	  1.3221	  8.2486
090	0.000004	  0.1628	  0.1680	  1.3215	  8.2333
091	0.000004	  0.1647	  0.1684	  1.3176	  8.2499
092	0.000004	  0.1646	  0.1684	  1.3205	  8.2524
093	0.000004	  0.1638	  0.1687	  1.3278	  8.2664
094	0.000004	  0.1642	  0.1685	  1.3238	  8.2554
095	0.000004	  0.1638	  0.1678	  1.3165	  8.2222
096	0.000004	  0.1638	  0.1682	  1.3212	  8.2435
097	0.000004	  0.1639	  0.1680	  1.3172	  8.2320
098	0.000004	  0.1648	  0.1678	  1.3198	  8.2238
099	0.000001	  0.1639	  0.1684	  1.3179	  8.2538
100	0.000001	  0.1641	  0.1682	  1.3176	  8.2412
101	0.000001	  0.1649	  0.1682	  1.3190	  8.2429
102	0.000001	  0.1652	  0.1681	  1.3158	  8.2368
103	0.000001	  0.1628	  0.1681	  1.3168	  8.2354
104	0.000001	  0.1651	  0.1680	  1.3158	  8.2312
105	0.000001	  0.1626	  0.1681	  1.3163	  8.2362
106	0.000001	  0.1643	  0.1681	  1.3182	  8.2348
107	0.000001	  0.1632	  0.1679	  1.3173	  8.2278
108	0.000001	  0.1639	  0.1679	  1.3195	  8.2275
109	0.000001	  0.1629	  0.1680	  1.3180	  8.2304
110	0.000001	  0.1631	  0.1680	  1.3170	  8.2331
111	0.000001	  0.1627	  0.1682	  1.3190	  8.2418
112	0.000001	  0.1637	  0.1682	  1.3176	  8.2425
113	0.000001	  0.1636	  0.1684	  1.3200	  8.2499
114	0.000001	  0.1627	  0.1683	  1.3177	  8.2479
115	0.000001	  0.1634	  0.1682	  1.3198	  8.2432
116	0.000001	  0.1637	  0.1681	  1.3197	  8.2387
117	0.000001	  0.1626	  0.1680	  1.3190	  8.2330
118	0.000001	  0.1648	  0.1680	  1.3171	  8.2307
119	0.000000	  0.1626	  0.1681	  1.3165	  8.2346
120	0.000000	  0.1632	  0.1681	  1.3171	  8.2379
121	0.000000	  0.1631	  0.1681	  1.3166	  8.2369
122	0.000000	  0.1626	  0.1681	  1.3166	  8.2368
123	0.000000	  0.1636	  0.1681	  1.3171	  8.2369
124	0.000000	  0.1626	  0.1681	  1.3170	  8.2366
125	0.000000	  0.1631	  0.1681	  1.3169	  8.2367
126	0.000000	  0.1628	  0.1681	  1.3169	  8.2359
127	0.000000	  0.1630	  0.1681	  1.3170	  8.2350
128	0.000000	  0.1632	  0.1681	  1.3169	  8.2346
129	0.000000	  0.1628	  0.1680	  1.3167	  8.2342
130	0.000000	  0.1628	  0.1681	  1.3169	  8.2374
131	0.000000	  0.1630	  0.1681	  1.3170	  8.2360
132	0.000000	  0.1642	  0.1680	  1.3161	  8.2325
133	0.000000	  0.1636	  0.1680	  1.3161	  8.2343
134	0.000000	  0.1640	  0.1681	  1.3162	  8.2354
135	0.000000	  0.1642	  0.1681	  1.3161	  8.2351
136	0.000000	  0.1630	  0.1681	  1.3161	  8.2362
137	0.000000	  0.1646	  0.1681	  1.3165	  8.2361
138	0.000000	  0.1627	  0.1681	  1.3163	  8.2346
139	0.000000	  0.1648	  0.1681	  1.3168	  8.2361
140	0.000000	  0.1633	  0.1681	  1.3166	  8.2356
141	0.000000	  0.1635	  0.1681	  1.3166	  8.2367
142	0.000000	  0.1625	  0.1681	  1.3168	  8.2383
143	0.000000	  0.1647	  0.1681	  1.3165	  8.2366
144	0.000000	  0.1629	  0.1681	  1.3167	  8.2367
145	0.000000	  0.1640	  0.1681	  1.3166	  8.2374
146	0.000000	  0.1622	  0.1681	  1.3164	  8.2372
147	0.000000	  0.1635	  0.1681	  1.3167	  8.2358
148	0.000000	  0.1634	  0.1681	  1.3167	  8.2379
149	0.000000	  0.1636	  0.1681	  1.3167	  8.2377
150	0.000000	  0.1634	  0.1681	  1.3163	  8.2346
151	0.000000	  0.1628	  0.1681	  1.3166	  8.2364
152	0.000000	  0.1639	  0.1681	  1.3165	  8.2352
153	0.000000	  0.1634	  0.1681	  1.3165	  8.2351
154	0.000000	  0.1635	  0.1681	  1.3168	  8.2360
155	0.000000	  0.1638	  0.1681	  1.3169	  8.2372
156	0.000000	  0.1640	  0.1681	  1.3166	  8.2361
157	0.000000	  0.1637	  0.1681	  1.3168	  8.2372
158	0.000000	  0.1632	  0.1681	  1.3168	  8.2380
159	0.000000	  0.1635	  0.1681	  1.3164	  8.2356
160	0.000000	  0.1628	  0.1681	  1.3163	  8.2352
161	0.000000	  0.1628	  0.1681	  1.3165	  8.2366
162	0.000000	  0.1636	  0.1681	  1.3166	  8.2383
163	0.000000	  0.1635	  0.1681	  1.3163	  8.2371
164	0.000000	  0.1637	  0.1681	  1.3164	  8.2375
165	0.000000	  0.1632	  0.1681	  1.3166	  8.2373
166	0.000000	  0.1620	  0.1681	  1.3164	  8.2357
167	0.000000	  0.1635	  0.1680	  1.3164	  8.2342
168	0.000000	  0.1638	  0.1681	  1.3165	  8.2360
169	0.000000	  0.1627	  0.1681	  1.3165	  8.2361
170	0.000000	  0.1617	  0.1681	  1.3165	  8.2369
171	0.000000	  0.1627	  0.1681	  1.3164	  8.2354
172	0.000000	  0.1628	  0.1681	  1.3164	  8.2364
173	0.000000	  0.1626	  0.1681	  1.3166	  8.2364
174	0.000000	  0.1631	  0.1681	  1.3165	  8.2372
175	0.000000	  0.1634	  0.1681	  1.3166	  8.2367
176	0.000000	  0.1622	  0.1681	  1.3168	  8.2375
177	0.000000	  0.1627	  0.1681	  1.3167	  8.2372
178	0.000000	  0.1647	  0.1681	  1.3167	  8.2379
179	0.000000	  0.1642	  0.1681	  1.3168	  8.2375
180	0.000000	  0.1634	  0.1681	  1.3168	  8.2366
181	0.000000	  0.1628	  0.1681	  1.3166	  8.2366
